bulan,kopi,teh,rempah,tembakau,cokelat,udang,tanilain,tekstil,kayu,sawit,kimia,logam,alat,semen,kertas,karet,minyak,elpiji,manufakturlain,tembaga,nikel,batubara,bauksit,crude,gas,gascair,tambanglain,emas
1/10/2017,102100,8301,45899,4274,7775,151450,240848,1006613,338895,1504206,448076,845444,783608,10171,380562,565450,129501,13515,4621099,423674,24829,1976820,6077,506048,696776,489607,18881,229995
1/11/2017,76428,7051,47983,4740,4326,150791,255306,1104040,359928,1609193,359716,960074,770595,10617,380119,531476,82057,5202,4876965,283615,20287,1912465,20812,542402,610896,396971,15297,256754
1/12/2017,61892,6285,36437,3670,2438,150014,225005,1088397,327390,1565123,426859,1072528,666431,10432,313359,489159,110189,2908,4055756,686666,40240,1918821,15787,528863,844297,609405,18519,145893
1/01/2018,51065,7717,34563,2133,3833,137090,209320,1148942,315431,1378689,371085,817392,765810,14654,340819,513537,116105,1525,4511529,329273,37565,1966155,10329,321401,745506,516243,14605,216431
1/02/2018,45117,6557,39732,9377,6888,126203,184982,1039788,323631,1390073,379709,916463,697669,9779,348973,512681,99468,2919,4214427,344743,46459,1843687,15868,453930,663663,445318,17533,197187
1/03/2018,58106,7201,43245,5697,3626,138287,234254,1162339,376772,1337410,386828,1129050,753826,10708,386458,563239,94279,16446,4629602,471456,48849,2223271,19211,487145,845284,590051,21384,212142
1/04/2018,62212,6877,40804,3720,10099,127287,251965,1042046,351492,1274557,344561,926547,718978,25921,399725,582169,131714,18922,4578641,389734,54095,1857796,22030,310995,617588,402461,14580,208924
1/05/2018,76987,7386,38602,8032,7836,136499,257908,1229482,412078,1274021,372702,1361047,830580,26988,428747,558869,187281,16009,4815195,476709,55034,1929234,24360,565060,786588,534921,26011,192420
1/06/2018,62997,3378,23923,2800,706,83795,158807,860822,235620,1246713,383027,878796,613718,20528,320021,386398,114246,23,3361478,461425,42376,1992491,20775,532903,857663,619163,20644,94771
1/07/2018,86653,7881,45320,8367,4348,124997,229696,1263014,366373,1485848,463004,1127857,851960,24729,440990,587363,146801,32,4789972,364812,51859,2268562,27312,428840,851930,599618,17430,203664
1/08/2018,81870,7076,51749,7862,7735,125938,224000,1243487,372078,1499767,387848,1177765,896659,21705,399588,545724,116484,27,4841855,303911,58664,1951783,20635,545546,839716,570612,21332,152038
1/09/2018,66894,6145,52008,4066,17947,114972,249923,1072968,341336,1496211,337393,1118916,802037,17931,376572,519607,160339,42,4482607,375594,69952,1943799,14844,457143,756479,497666,19516,115958
1/10/2018,69491,7005,57981,5307,1543,128144,270796,1056010,377060,1500620,413418,1021314,826663,15488,376049,490766,175858,421,5137891,163358,64577,2133264,28144,407638,881818,588434,31213,158731
1/11/2018,71796,5477,61062,5064,8875,123806,264584,1049685,336818,1337225,486845,1026870,784518,23067,358961,465299,124933,8,4481061,394528,49577,1955409,33078,292810,834067,545433,26940,130842
1/12/2018,74169,5923,54043,4580,850,104034,245355,1103821,315284,1307299,376512,875066,775676,25686,347511,424022,82944,31,4132593,111345,49020,1902154,28428,283137,1038928,755635,34123,139138
1/01/2019,73473,6348,39709,4515,4242,102594,231488,1199105,323064,1318959,419261,897999,813671,20787,334795,454617,65786,42,4213389,172901,59214,1909338,38936,86457,775972,527834,34216,204022
1/02/2019,64615,4793,36878,4383,2898,91473,195576,1067690,274069,1122028,324650,929890,762192,25948,330732,433846,81266,2945,4010700,41332,57419,1646236,37635,148142,698709,483902,18470,230195
1/03/2019,56397,5185,45462,4734,2551,113210,243987,1124334,299762,1153223,394321,1173746,834452,21679,399993,460147,115486,4308,4270739,185134,69062,2044170,34359,140010,638894,393435,31434,375103
1/04/2019,61300,5007,36048,6327,2432,110662,213304,1013172,287310,990288,352520,1047691,729260,24582,385216,523405,78621,48,4247322,144738,71536,1925603,37576,190265,604807,373643,17760,124780
1/05/2019,74834,6774,50118,5485,4451,131678,237560,1231116,328119,1109337,400041,1210376,836409,31852,388804,539752,85745,62,4721725,,77939,2009342,35962,164137,598316,369716,41510,192851
1/06/2019,56784,3525,31006,5980,13049,77061,152710,823525,205100,1026327,309319,1046562,661523,15999,355226,427218,160185,47,3494754,,47364,1719500,28826,117787,641094,429954,28876,507532
1/07/2019,85686,5360,51655,5020,14417,130394,215544,1238742,330682,1166654,339885,1090535,897360,30938,406386,596146,160340,60,4788501,27896,57854,1853955,42539,181429,601002,392342,41361,411164
1/08/2019,84216,5016,58718,5804,9303,109124,251510,1139915,297139,1153120,363007,1145153,810886,28957,390358,523361,160556,68,4692936,,77433,1682161,38492,131985,507010,298990,32378,496582
1/09/2019,86880,5764,51376,8928,5396,116408,261450,1010266,293868,1301042,389590,1265258,746578,19665,362533,465320,254531,2030,4479948,229591,125886,1676889,26430,127467,593876,374863,33536,300772
1/10/2019,79711,6570,56946,2551,4765,142571,246627,1001794,322758,1262815,376172,1310853,817852,25743,368838,478352,144857,66,4845584,217778,223169,1807819,45706,110456,511580,297181,35621,310061
1/11/2019,77264,4145,50934,3154,7958,133014,262017,988557,296803,1387181,334224,1105117,793020,24943,335775,410474,172572,29,4470005,77025,112049,1715009,47022,125865,574809,399953,48815,214699
1/12/2019,70929,5304,51614,2856,10752,132950,294215,1078593,296247,1729447,346501,1140495,709639,10859,349607,428958,166862,29,4364634,183660,118631,1697245,54101,196014,759667,567783,36236,176615
1/01/2020,71097,5679,42574,2131,1971,122786,231768,1077967,294769,1258182,325863,1329752,783810,16404,334759,483160,145360,57,4254396,,,1708786,46583,35609,569659,366909,33570,389298
1/02/2020,63652,5783,44682,4688,15513,112520,230220,1090383,286709,1397879,375375,1135162,777346,17855,314571,484795,150938,41,4313960,45865,,1689266,38584,102998,552102,340984,35482,637579
1/03/2020,65653,5082,47223,6715,100,119556,258942,959657,318253,1370408,316849,1281362,741543,16610,363779,457974,65397,28,4329538,76281,,1815892,57799,37326,468732,318242,44511,675821
1/04/2020,62361,6014,55113,5119,805,136516,232350,619389,314765,1210129,303006,1175279,621454,20577,335432,370616,91998,12,3735658,55374,,1406805,59701,,443931,341935,26148,785899
1/05/2020,44600,4548,37341,3114,1433,98457,196718,590785,225799,997945,290736,1248802,527534,23614,380642,260424,95059,25,3161047,88944,,1172285,53245,26149,423677,328026,18365,429379
